web-scraper-order,web-scraper-start-url,articles_links,articles_links-href,detail,etat,adresse,prix,image_lien-src,description
"1738614364-55","https://www.expat-dakar.com/equipements-pieces?page=36","Pompe à air
                                Neuf
                                                                                    Guediawaye,
                                                                                Dakar
                                    
                                        19. déc. '24, 22:41
                                    
                                            Vendeur vérifié
                                        
                    15 000 F Cfa
                        
                        775578275
                    
                        763583858
                    
                        775578275","https://www.expat-dakar.com/annonce/pompe-a-air-5679091","Pompe à air","Neuf","Guediawaye
            
                Dakar","15 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/24e3181df9e675dafba13956861bf3aa/-/horizon-files-prod/ed/picture/q0g2k8vz/031b88ad57e7aa67bbb50ad248ed1dd72a522653.jpg","Idéal pour le voiture scooter vélo bref ect.

A branchée dans l'allume cigare de la voiture pour Alimenter

Disponible chez Mame Touba Belel

Visiter notre shoowroom sur www.expat-dakar.com pour plus d'articles Satisfaction garantie"
"1738614364-402","https://www.expat-dakar.com/equipements-pieces?page=3","Programmation clé de voiture
                                Neuf
                                                                                    Keur Massar,
                                                                                Dakar
                                    
                                        mercredi, 15:04","https://www.expat-dakar.com/annonce/programmation-cle-de-voiture-6268736","Programmation clé de voiture","Neuf","Keur Massar
            
                Dakar","","https://i.roamcdn.net/hz/ed/listing-thumb-543w/db863626a46dc58904e70fd096fd6ae5/-/horizon-files-prod/ed/picture/qkr8zkwv/ba8764abaee27a0c6616f6a8362558ab06a989e0.jpg","Programmation clé perdue ou double clé"
"1738614374-56","https://www.expat-dakar.com/equipements-pieces?page=36","pompe à air pour pneu
                                Neuf
                                                                                    Ouakam,
                                                                                Dakar
                                    
                                        10. déc. '24, 09:43
                                    
                    15 000 F Cfa
                        
                        775636576
                    
                        772891632","https://www.expat-dakar.com/annonce/pompe-a-air-pour-pneu-5968937","pompe à air pour pneu","Neuf","Ouakam
            
                Dakar","15 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/8e9c23f6ca1b9b5a7d83f60160d3db5f/-/horizon-files-prod/ed/picture/qj4r27w5/e29bf1cb5c942cc602c128cb108dbe542bb4181f.png","Gonfleur à pédale Pompe à air haute pression pour vélo, voiture électrique, voiture à batterie, voiture, basket-ball, pompe à air à pédale, petite et portable"
"1738614375-403","https://www.expat-dakar.com/equipements-pieces?page=3","Frigo Solaire pour voiture
                                Neuf
                                                                                    Keur Massar,
                                                                                Dakar
                                    
                                        jeudi, 11:08
                                    
                        778256969
                    
                        781693939
                    
                        338249369","https://www.expat-dakar.com/annonce/frigo-solaire-pour-voiture-6053889","Frigo Solaire pour voiture","Neuf","Keur Massar
            
                Dakar","","https://i.roamcdn.net/hz/ed/listing-thumb-543w/6a7ead4c9cb76d77b7f2e4481c9c5c46/-/horizon-files-prod/ed/picture/q7852rvz/3622e96a9e9a6ea48aa228b1bd42d41865ff7c43.png","Kit Réfrigérateur Portable de marque SmarTech

peut être utiliser pour vos voyages, glacière de voiture, camping en plein air

CARACTERISTIQUES

Refroidissement rapide, congélation rapide"
"1738614384-57","https://www.expat-dakar.com/equipements-pieces?page=36","Casque, malette, antivol moto
                                Neuf
                                                                                    Castor,
                                                                                Dakar
                                    
                                        lundi, 15:03
                                    
                    1 F Cfa
                        
                        777672682
                    
                        777672682
                    
                        770949542","https://www.expat-dakar.com/annonce/casque-malette-antivol-moto-5933216","Casque, malette, antivol moto","Neuf","Castor
            
                Dakar","1 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/e69f51ec4fe72837a06fa2523914dadc/-/horizon-files-prod/ed/picture/qpd6nm9r/38702dd601fc445ee932797ec7989224294b2d23.jpg","Casque, malette, antivol moto et d'autres équipements pour motards"
"1738614394-58","https://www.expat-dakar.com/equipements-pieces?page=36","Vends 3 pneus GOOD YEAR Wrangler 4x4
                                D'occasion
                                                                                    Ngaparou,
                                                                                Thiès
                                    
                                        10. déc. '24, 09:11
                                    
                    70 000 F Cfa
                        
                        775128545","https://www.expat-dakar.com/annonce/vends-3-pneus-good-year-wrangler-4x4-5975992","Vends 3 pneus GOOD YEAR Wrangler 4x4","D'occasion","Ngaparou
            
                Thiès","70 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/e69f817bb8c85b158da92f622d945459/-/horizon-files-prod/ed/picture/q9m9dk80/2f5d0f8a87af3e114287cba9d7224a0d7e8888f4.jpg","Vend 3 pneus 4x4 occasion excellent état.

taille 265/65 R17.

pneus a grosse structure spécial sable et 4x4.

Le 4 éme pneus légèrement abimé en cadeau.

A voir a Saly ou Ngaparou.

Possibilité de livraison"
"1738614394-404","https://www.expat-dakar.com/equipements-pieces?page=2","Tuyau D’arrosage Extensible Magic Hose 22.5m et 30m
                                Neuf
                                                                                    Grand-Dakar,
                                                                                Dakar
                                    
                                        jeudi, 11:28
                                    
                    15 000 F Cfa
                        
                        782963838
                    
                        762963434
                    
                        771874229","https://www.expat-dakar.com/annonce/tuyau-darrosage-extensible-magic-hose-225m-et-30m-5550811","Tuyau D’arrosage Extensible Magic Hose 22.5m et 30m","Neuf","Grand-Dakar
            
                Dakar","15 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/9542948d6f55b0b181d5b668e27d3795/-/horizon-files-prod/ed/picture/qxjjmgnn/da33f960361f12cd9d220e7c983a14ce52ed2b5b.jpg","Facilitez le jardinage et le lavage en apportant ce tuyau d'arrosage polyvalent et efficace qui vous permet d'effectuer plusieurs fonctions. Il est absolument facile à utiliser et la longueur de 15 mètres vous permet de prendre un contrôle total et vous offre une flexibilité maximale, ce qui permet de nettoyer efficacement votre voiture ou d'arroser votre jardin. Ce tuyau d'arrosage de haute qualité et durable offre de l'eau à haute pression et est idéal pour votre utilisation en extérieur

Livraison Possible"
"1738614404-59","https://www.expat-dakar.com/equipements-pieces?page=36","Garniture de pare brise complète Ford Explorer droit/gauche
                                Neuf
                                                                                    Ngaparou,
                                                                                Thiès
                                    
                                        10. déc. '24, 09:03
                                    
                    50 000 F Cfa
                        
                        775128545","https://www.expat-dakar.com/annonce/garniture-de-pare-brise-complete-ford-explorer-droitgauche-5975995","Garniture de pare brise complète Ford Explorer droit/gauche","Neuf","Ngaparou
            
                Thiès","50 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/cfc7f484ce305943f203d6a4e2002a82/-/horizon-files-prod/ed/picture/qq47vzd7/b510134e8ee001d7dcc8b974fe67806d703363f1.jpg","NOUVELLE ARRIVAGE  PROMOTION - NOUVELLE ARRIVAGE  PROMOTION"
"1738614404-405","https://www.expat-dakar.com/equipements-pieces?page=2","Nettoyeur Haute Pression sans Fil avec 2 batteries 48V
                                Neuf
                                                                                    Grand-Dakar,
                                                                                Dakar
                                    
                                        jeudi, 11:29
                                    
                    35 000 F Cfa
                        
                        782963838
                    
                        762963434
                    
                        771874229","https://www.expat-dakar.com/annonce/nettoyeur-haute-pression-sans-fil-avec-2-batteries-48v-6144839","Nettoyeur Haute Pression sans Fil avec 2 batteries 48V","Neuf","Grand-Dakar
            
                Dakar","35 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/56a7a32a1b1a705cb55ef4d57be4cbcb/-/horizon-files-prod/ed/picture/q2j0kj4e/0c0c73feece0e889133ede3c7dabe1afb64ec7bf.png","Nettoyeur Haute Pression sans Fil, 48V 300W Pistolet à Eau Portable Haute Pression sur Batterie, Nettoyeur Haute Pression sans Fil Portable avec Accessoires pour Voitures Nettoyage Maison Jardin

livraison possible"
"1738614414-60","https://www.expat-dakar.com/equipements-pieces?page=36","Désodorisants auto - Exotica
                                Neuf
                                                                                    Colobane,
                                                                                Dakar
                                    
                                        6. déc. '24, 15:56
                                    
                    2 500 F Cfa
                        
                        776399636","https://www.expat-dakar.com/annonce/desodorisants-auto-exotica-5803513","Désodorisants auto - Exotica","Neuf","Colobane
            
                Dakar","2 500 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/fdc20ec00949a33221676d71d8f484f0/-/horizon-files-prod/ed/picture/qgqge56q/e68515d7feb71510e1151faea85912ce914faa44.jpg","Vente Désodorisants auto - Exotica"
"1738614415-406","https://www.expat-dakar.com/equipements-pieces?page=2","Pare-brise de voiture
                                Neuf
                                                                                    Médina,
                                                                                Dakar
                                    
                                        jeudi, 15:22
                                    
                    45 000 F Cfa
                        
                        777125150","https://www.expat-dakar.com/annonce/pare-brise-de-voiture-5286010","Pare-brise de voiture","Neuf","Médina
            
                Dakar","45 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/28a2b2b68e03acefb94804648e704f75/-/horizon-files-prod/ed/picture/qrz24708/3ca4f8ae65a957ec976a033ae9c07a12aba3803b.jpg","Vente et pose pare-brise automobile double vitrage pour toutes les marques disponible appeler nous et prenez rendez-vous vous serez étonnés du rapport qualité prix une bonne Parebrise garantie votre sécurité de vision sur la route"
"1738614426-407","https://www.expat-dakar.com/equipements-pieces?page=2","Pare brise auto dakar
                                Neuf
                                                                                    Médina,
                                                                                Dakar
                                    
                                        jeudi, 15:41
                                    
                    40 000 F Cfa
                        
                        777125150","https://www.expat-dakar.com/annonce/pare-brise-auto-dakar-6269859","Pare brise auto dakar","Neuf","Médina
            
                Dakar","40 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/9163117aaa0cfb9ae098d4157fd20fc5/-/horizon-files-prod/ed/picture/qj4q0k6d/471e2d7d3ccd8e274691dea7b07b3977cc05c76c.jpg","Changer rapidement votre pare-brise en toute sécurité avec Dakar pare-brise nous assurons le remplacement parfait de votre pare-brise original authentique conforme avec votre voiture contactez-moi et prenez rendez-vous vous serez vraiment satisfaite de la qualité du service"
"1738614437-61","https://www.expat-dakar.com/equipements-pieces?page=35","Ensemble de liaison stabilisatrice avant
                                Neuf
                                                                                    Colobane,
                                                                                Dakar
                                    
                                        6. déc. '24, 15:55
                                    
                        776399636","https://www.expat-dakar.com/annonce/ensemble-de-liaison-stabilisatrice-avant-5884851","Ensemble de liaison stabilisatrice avant","Neuf","Colobane
            
                Dakar","","https://i.roamcdn.net/hz/ed/listing-thumb-543w/f83aaee0ed52d2bde4eec014a619cebb/-/horizon-files-prod/ed/picture/qq47dxez/f6adf1f2865117b296e58d81d15d3facf21c50a4.jpg","Ensemble de liaison stabilisatrice avant"
"1738614437-408","https://www.expat-dakar.com/equipements-pieces?page=2","Huile moteur castrol 5W30 5L
                                Neuf
                                                                                    Grand-Yoff,
                                                                                Dakar
                                    
                                        vendredi, 08:33
                                    
                    26 000 F Cfa
                        
                        771149034","https://www.expat-dakar.com/annonce/huile-moteur-castrol-5w30-5l-6268070","Huile moteur castrol 5W30 5L","Neuf","Grand-Yoff
            
                Dakar","26 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/5dddd6b183857b4216671d8bff255543/-eyJvciI6MH0%3D/horizon-files-prod/ed/picture/q9mjvx65/cfee2396e0f5ecd41f5e25629b5474abcb4622d1.jpg","🔥 BIG PAPA ENTREPRISE - L'HUILE MOTEUR DE QUALITÉ SUPÉRIEURE À PRIX IMBATTABLE ! 🔥"
"1738614447-62","https://www.expat-dakar.com/equipements-pieces?page=35","Pièces d’excavatrice CAT , injecteur de carburant 122-5053
                                Neuf
                                                                                    Colobane,
                                                                                Dakar
                                    
                                        6. déc. '24, 15:55
                                    
                        776399636","https://www.expat-dakar.com/annonce/pieces-dexcavatrice-cat-injecteur-de-carburant-122-5053-5884827","Pièces d’excavatrice CAT , injecteur de carburant 122-5053","Neuf","Colobane
            
                Dakar","","https://i.roamcdn.net/hz/ed/listing-thumb-543w/d04e172071d3d44b440d4d934fe3cde0/-/horizon-files-prod/ed/picture/qngxd8qx/905402ff6b22160c2355794a6b423152f7aa3123.jpg","Pièces d'excavatrice CAT , injecteur de carburant à rampe commune 122-5053"
"1738614447-409","https://www.expat-dakar.com/equipements-pieces?page=2","PNEUS : VOITURES ET CAMIONS
                                Neuf
                                                                                    Hann marinas,
                                                                                Dakar
                                    
                                        vendredi, 10:04
                                    
                    40 000 F Cfa
                        
                        784766479","https://www.expat-dakar.com/annonce/pneus-voitures-et-camions-6220518","PNEUS : VOITURES ET CAMIONS","Neuf","Hann marinas
            
                Dakar","40 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/fe8be98091525c7d9d9cf2be83b7bbce/-/horizon-files-prod/ed/picture/qde7j708/a8c7351c36a550a4baec640cddcf0df0be6762fa.jpg","Nous importons de pneus de bonne qualité et grande quantité.

Pneus de petite voiture et camions.

Contactez nous pour avoir une grande satisfaction de votre choix."
"1738614458-63","https://www.expat-dakar.com/equipements-pieces?page=35","Pompe d'injecteur-pompe hydraulique : 319-0677: ASS. POMPE
                                Neuf
                                                                                    Colobane,
                                                                                Dakar
                                    
                                        6. déc. '24, 15:54
                                    
                        776399636","https://www.expat-dakar.com/annonce/pompe-dinjecteur-pompe-hydraulique-319-0677-ass-pompe-5884831","Pompe d'injecteur-pompe hydraulique : 319-0677: ASS. POMPE","Neuf","Colobane
            
                Dakar","","https://i.roamcdn.net/hz/ed/listing-thumb-543w/bf7fc83a58cbf2ba059b07debe4a7ac0/-/horizon-files-prod/ed/picture/q448dwgr/ae33f6322f88c2146a7c5103ec89918aaa2c9626.jpg","Pompe d'injecteur-pompe hydraulique : 319-0677: ASS. POMPE"
"1738614458-410","https://www.expat-dakar.com/equipements-pieces?page=2","GPS pour auto-moto-camion
                                Neuf
                                                                                    Cité Damel,
                                                                                Dakar
                                    
                                        vendredi, 10:36
                                    
                    5 000 F Cfa
                        
                        775061799","https://www.expat-dakar.com/annonce/gps-pour-auto-moto-camion-6232551","GPS pour auto-moto-camion","Neuf","Cité Damel
            
                Dakar","5 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/1e8352084506e4b5e4583b551d6d027c/-/horizon-files-prod/ed/picture/qq42kw7e/3ca8ec26679ff13622f4e4b4e33683abfe603e0f.png","Géolocaliser votre véhicule auto - moto - Camion

Gérer votre parc en toute tranquillité."
"1738614469-64","https://www.expat-dakar.com/equipements-pieces?page=35","HUILE  MOTEUR LUBEX PRIMUS 10W40
                                Neuf
                                                                                    Colobane,
                                                                                Dakar
                                    
                                        16. janv., 10:48
                                    
                        776399636","https://www.expat-dakar.com/annonce/huile-moteur-lubex-primus-10w40-5822807","HUILE  MOTEUR LUBEX PRIMUS 10W40","Neuf","Colobane
            
                Dakar","","https://i.roamcdn.net/hz/ed/listing-thumb-543w/912e9315a0cdcb394c3e6480bfd05c6b/-/horizon-files-prod/ed/picture/qq4d00k4/6861b6198455f0d1ce09c5aba8ee5d77f7c976d1.jpg","HUILE  MOTEUR LUBEX PRIMUS 10W40 disponible en stock

Vente pour toute les qualites

L'huile vous offre une performance supérieure et une meilleure protection, une plus longue durée de vie du moteur et un confort de conduite plus doux dans les conditions climatiques locales."
"1738614469-411","https://www.expat-dakar.com/equipements-pieces?page=2","Bâche auto
                                
                                                                                Dakar
                                    
                                        vendredi, 15:32
                                    
                    12 000 F Cfa
                        
                        777891477
                    
                        778095586
                    
                        773642020","https://www.expat-dakar.com/annonce/bache-auto-2741614","Bâche auto","","Dakar","12 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/58b5b765f81c8d4b936ca99a43a31d00/-/horizon-files-prod/ed/picture/migrated/qn70dmk/54f3b3ec72031667be1a0a3e35093c039507c38f.png","Livraison immédiate 100% gratuite. protégez votre voiture avec des bâches solide, toute saison,intérieur garni pour protéger la peinture , fermeture pour porte, élastique de maintien cote avant et arrière, avec poche rétroviseur, votre numéro d'immatriculation sera écrit dessus, à petit prix à partir du prix affiché. N'oubliez pas de visiter notre site internet. l'application mobile bientôt disponible Nb: les prix commencent à partir du prix affiché."
"1738614480-65","https://www.expat-dakar.com/equipements-pieces?page=35","Résistance
                                Neuf
                                                                                    Colobane,
                                                                                Dakar
                                    
                                        6. déc. '24, 15:54
                                    
                        776399636","https://www.expat-dakar.com/annonce/resistance-5804622","Résistance","Neuf","Colobane
            
                Dakar","","https://i.roamcdn.net/hz/ed/listing-thumb-543w/8da61c203052aa62ea8d39b59409aac0/-/horizon-files-prod/ed/picture/q6x69k7z/028bbe03383d9311126199ffcaa732ef03b243cb.jpg","Vente de résistance automobile pour toutes les marques disponibles appeler nous et prenez rendez-vous. Vous serez étonnés du rapport de la qualité a un prix pas cher.

FROID AUTO CENTENAIRE, le leader de la Climatisation."
"1738614480-412","https://www.expat-dakar.com/equipements-pieces?page=2","Ensemble Couvre Volant Et Boîte Mouchoir
                                Neuf
                                                                                    Grand-Dakar,
                                                                                Dakar
                                    
                                        samedi, 12:36
                                    
                    22 000 F Cfa
                        
                        782963838
                    
                        762963434
                    
                        771874229","https://www.expat-dakar.com/annonce/ensemble-couvre-volant-et-boite-mouchoir-4668148","Ensemble Couvre Volant Et Boîte Mouchoir","Neuf","Grand-Dakar
            
                Dakar","22 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/dd9fab211857e52d967f9e0bc864f880/-/horizon-files-prod/ed/picture/q9epnp6/dc35e9b55195bbc5aab5f8985fa50aa23ee207c8.png","Ensemble Couvre Volant Et Boîte Mouchoir"
"1738614490-66","https://www.expat-dakar.com/equipements-pieces?page=35","Désodorisants auto Gota a gota
                                Neuf
                                                                                    Colobane,
                                                                                Dakar
                                    
                                        6. déc. '24, 15:54
                                    
                    2 500 F Cfa
                        
                        776399636","https://www.expat-dakar.com/annonce/desodorisants-auto-gota-a-gota-5803526","Désodorisants auto Gota a gota","Neuf","Colobane
            
                Dakar","2 500 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/6257b7bb2184b84cac7d750b4f1d7181/-/horizon-files-prod/ed/picture/q9m8q0vx/bd8e422b1f36c5aaf96202f0e85381cde1cb5d56.jpg","Vente Désodorisants auto Gota a gota"
"1738614490-413","https://www.expat-dakar.com/equipements-pieces?page=2","Tapis standard 5 pieces pour voiture
                                Neuf
                                                                                    Grand-Dakar,
                                                                                Dakar
                                    
                                        samedi, 12:37
                                    
                    11 000 F Cfa
                        
                        782963838
                    
                        762963434
                    
                        771874229","https://www.expat-dakar.com/annonce/tapis-standard-5-pieces-pour-voiture-4880535","Tapis standard 5 pieces pour voiture","Neuf","Grand-Dakar
            
                Dakar","11 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/75ecb55735761f121e05a8412b103e24/-/horizon-files-prod/ed/picture/qgvx460/8283729cb95bac41e2fe40143027291ef41abca2.jpg","Grâce à sa barrière de 1,5 cm de hauteur dans sa conception, il empêche la boue, la terre et les liquides de contaminer votre véhicule et maintient votre véhicule propre.La partie talon est soutenue par des matières premières et résiste à l'usure du talon pendant une plus longue période."
"1738614501-67","https://www.expat-dakar.com/equipements-pieces?page=35","Filtre a Carburant   Remplace : 23390-17540, 23390-51020
                                Neuf
                                                                                    Colobane,
                                                                                Dakar
                                    
                                        6. déc. '24, 15:53
                                    
                        776399636","https://www.expat-dakar.com/annonce/filtre-a-carburant-remplace-23390-17540-23390-51020-5884886","Filtre a Carburant   Remplace : 23390-17540, 23390-51020","Neuf","Colobane
            
                Dakar","","https://i.roamcdn.net/hz/ed/listing-thumb-543w/3edcbbd221b2695938f6f58ac3e04da9/-/horizon-files-prod/ed/picture/qenq5z44/ce24a5866500e0aace355d05243c8b89d854767d.jpg","Filtre a Carburant"
"1738614512-68","https://www.expat-dakar.com/equipements-pieces?page=35","Kit de phares Ampoules LED X-WillTop
                                Neuf
                                                                                    Ouest foire,
                                                                                Dakar
                                    
                                        5. janv., 13:13
                                    
                    12 000 F Cfa
                        
                        773973207","https://www.expat-dakar.com/annonce/kit-de-phares-ampoules-led-x-willtop-5991665","Kit de phares Ampoules LED X-WillTop","Neuf","Ouest foire
            
                Dakar","12 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/7ec4e0b3c937a7785a538521459b4749/-/horizon-files-prod/ed/picture/qzvd5kex/c3bb529bb54f57c0c86fce08c131b1dd2977945e.jpg","Ampoules Phares LED

Entrée d'alimentation LED : véhicules DC9V-36V

Matériau de la ceinture de refroidissement : Cuivre

Température de fonctionnement : -20~85ºC

Puissance : 5000Watts

Lumens : 50 000 LM

Niveau d'étanchéité : IP67

Matériel: Alliage d'aluminium

Couleur disponible : Blanc"
"1738614512-414","https://www.expat-dakar.com/equipements-pieces?page=1","Bache voiture 4x4 et SUV imperméable et doublé en coton
                                Neuf
                                                                                    Grand-Dakar,
                                                                                Dakar
                                    
                                        samedi, 12:56
                                    
                    25 000 F Cfa
                        
                        782963838
                    
                        762963434
                    
                        771874229","https://www.expat-dakar.com/annonce/bache-voiture-4x4-et-suv-impermeable-et-double-en-coton-5250882","Bache voiture 4x4 et SUV imperméable et doublé en coton","Neuf","Grand-Dakar
            
                Dakar","25 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/d31b4dfb759dae88eb1109dd1289318c/-/horizon-files-prod/ed/picture/qpdp8wx2/876ca19313baf8b0e8aa112e675dfd20095de499.png","Couvre-voiture en pvc extrêmement imperméable à l'eau .ce Bâche est fabriqué à partir de la technologie des coutures ultrasonique pour éviter les trous d'épingle et empêche l'eau de s'infiltrer dans la couture. C'est une housse de protection respirant,imperméable et doublé à l'intérieur de coton doux.

La Bâche est légère et ne pèse pas plus 5kg dans son emballage.

Ces Bâches sont très utiles dans cette période d'hivernage,de poussière,de pluie,de soleil

Les prix commencent à partir du prix affiché

Livraison possible partout au senegal"
"1738614523-69","https://www.expat-dakar.com/equipements-pieces?page=35","Filtre a huile 05152-YZZA5
                                Neuf
                                                                                    Colobane,
                                                                                Dakar
                                    
                                        6. déc. '24, 15:53
                                    
                        776399636","https://www.expat-dakar.com/annonce/filtre-a-huile-05152-yzza5-5884898","Filtre a huile 05152-YZZA5","Neuf","Colobane
            
                Dakar","","https://i.roamcdn.net/hz/ed/listing-thumb-543w/046b3378c3c06c8c077462e35c06bba5/-/horizon-files-prod/ed/picture/qrzvqmpj/f49af3afaca71d7f95478ab139506a5cbe23cd10.jpg","Filtre a huile 05152-YZZA5"
"1738614523-415","https://www.expat-dakar.com/equipements-pieces?page=1","Protège pare-brise
                                Neuf
                                                                                    Grand-Dakar,
                                                                                Dakar
                                    
                                        samedi, 14:04
                                    
                    10 000 F Cfa
                        
                        782963838
                    
                        762963434
                    
                        771874229","https://www.expat-dakar.com/annonce/protege-pare-brise-6271372","Protège pare-brise","Neuf","Grand-Dakar
            
                Dakar","10 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/1524271773aba17724e6c94838949432/-/horizon-files-prod/ed/picture/qwep6qkk/8fbda44a494cd8ec9be71b46e056daa8918a0e94.jpg","Protégez vos pare brise du soleil ☀️ en toute simplicité vous pouvez maintenant garé la voiture n'importe où  sans vous souciez du soleil ☀️ très facile à installer elle n encombre  pas et elle est durable de très bonne qualité"
"1738614534-70","https://www.expat-dakar.com/equipements-pieces?page=35","Filtre a huile 04152-38020
                                Neuf
                                                                                    Colobane,
                                                                                Dakar
                                    
                                        6. déc. '24, 15:51
                                    
                        776399636","https://www.expat-dakar.com/annonce/filtre-a-huile-04152-38020-5884902","Filtre a huile 04152-38020","Neuf","Colobane
            
                Dakar","","https://i.roamcdn.net/hz/ed/listing-thumb-543w/a185b7a3b386eb1e43462cf6131665ad/-/horizon-files-prod/ed/picture/qv4epv75/cf5e94b4a7152acaa584ee80d5d70bca22632a1c.jpg","Filtre a huile 04152-38020"
"1738614534-416","https://www.expat-dakar.com/equipements-pieces?page=1","Aspirateur dépoussiérage/éclairage (Auto & Ordinateur, etc.)
                                Neuf
                                                                                    Castor,
                                                                                Dakar
                                    
                                        Hier, 18:39
                                    
                    10 000 F Cfa
                        
                        771452029
                    
                        762809427","https://www.expat-dakar.com/annonce/aspirateur-depoussierageeclairage-auto-ordinateur-etc-5644536","Aspirateur dépoussiérage/éclairage (Auto & Ordinateur, etc.)","Neuf","Castor
            
                Dakar","10 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/3321c7a1e0bbb730ac36376627d6ac1d/-/horizon-files-prod/ed/picture/qkr5557j/c87435018d07a612dd52244461b5e066a8e11bdb.jpg","Petit aspirateur portable avec fonction d'aspiration des miettes. Un choix idéal pour garder l'appartement ou la voiture propre. L'appareil fonctionnant sous vide nettoie et élimine efficacement la poussière et les miettes. Même les endroits les plus étroits peuvent être nettoyés efficacement à l' aide de la tête allongée et fine incluse dans l'emballage ."
"1738614545-417","https://www.expat-dakar.com/equipements-pieces?page=1","Gonfleur de Pneu, Compresseur d'air, Connecteur de Valve
                                Neuf
                                                                                    Castor,
                                                                                Dakar
                                    
                                        Hier, 19:41
                                    
                    16 000 F Cfa
                        
                        771452029
                    
                        762809427","https://www.expat-dakar.com/annonce/gonfleur-de-pneu-compresseur-dair-connecteur-de-valve-5959769","Gonfleur de Pneu, Compresseur d'air, Connecteur de Valve","Neuf","Castor
            
                Dakar","16 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/9deaae59bd2597aa74b1a98603379667/-/horizon-files-prod/ed/picture/q0gwd60x/9fe3ec5557fc9cdd7728e240ec158184a19bf78e.jpg","Le compresseur d'air portable gonfle rapidement les pneus de votre voiture lorsque vous êtes en déplacement. Que vous soyez à la maison ou sur la route, la vérification et le réglage de la pression des pneus sont rapides."
"1738614555-71","https://www.expat-dakar.com/equipements-pieces?page=34","Mini scanner OBD2 - Outil de diagnostic voitures Bluetooth
                                Neuf
                                                                                    Patte d‘oie,
                                                                                Dakar
                                    
                                        mardi, 11:14
                                    
                    8 000 F Cfa
                        
                        781932453
                    
                        704048208
                    
                        784485061","https://www.expat-dakar.com/annonce/mini-scanner-obd2-outil-de-diagnostic-voitures-bluetooth-5997702","Mini scanner OBD2 - Outil de diagnostic voitures Bluetooth","Neuf","Patte d‘oie
            
                Dakar","8 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/be0328ff99b729f0586fd8cf010120fe/-/horizon-files-prod/ed/picture/qv4e0d28/5c762469e9a792bafbeeffa44f4a7235cce4cb01.jpg","Mini scanner auto OBD2 - Outil de diagnostic voitures Bluetooth  pour Windows Android - ELM327"
"1738614555-418","https://www.expat-dakar.com/equipements-pieces?page=1","Pare-brise automobile Sénégal
                                Neuf
                                                                                    Médina,
                                                                                Dakar
                                    
                                        Aujourd'hui, 08:29
                                    
                    45 000 F Cfa
                        
                        777125150","https://www.expat-dakar.com/annonce/pare-brise-automobile-senegal-6272214","Pare-brise automobile Sénégal","Neuf","Médina
            
                Dakar","45 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/c2de237b58c110b478b512e21297754a/-/horizon-files-prod/ed/picture/qkr8er5n/d33442a98dc47e10d564ad2e37121c0260b24979.jpg","Vente et changement de pare-brise automobile toute marque et modèle disponible pare-brise et montage garanti d'origine"
"1738614565-72","https://www.expat-dakar.com/equipements-pieces?page=34","Autel KM 100 . 2022 générateur  cles universel
                                Neuf
                                                                                    Yoff,
                                                                                Dakar
                                    
                                        10. janv., 12:45
                                    
                    430 000 F Cfa
                        
                        781600325
                    
                        775334359","https://www.expat-dakar.com/annonce/autel-km-100-2022-generateur-cles-universel-4222291","Autel KM 100 . 2022 générateur  cles universel","Neuf","Yoff
            
                Dakar","430 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/a9fcca7ce636e7b12dd6f0b5c337fb91/-/horizon-files-prod/ed/picture/q0rpz48/7058457d7a210558af93af1ac1f206a9559e0890.jpg","Autel KM100 Fonctions:"
